Header,Description,Requirements,Tasks,Pluses,Raw text
Старший Java-разработчик в Музыку,Вас ждет работа с высоконагруженными системами обработки больших объемов данных и крупнейшей в России базой легальной музыки. Будет много хорошей музыки и качественного кода.,"• уверенное знание Java, СУБД, Linux
• умение тестировать собственный код и разбираться в чужом","• проектировать новые фичи, поддерживать и развивать уже существующие","• опыт разработки распределенных систем с большой нагрузкой
• опыт использования реляционных СУБД или NoSQL-хранилищ (MongoDB)
• опыт многопоточного программирования","Старший Java-разработчик в Музыку

Вас ждет работа с высоконагруженными системами обработки больших объемов данных и крупнейшей в России базой легальной музыки. Будет много хорошей музыки и качественного кода.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• уверенное знание Java, СУБД, Linux
• умение тестировать собственный код и разбираться в чужом

ВАШИ ЗАДАЧИ:
• проектировать новые фичи, поддерживать и развивать уже существующие

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• опыт разработки распределенных систем с большой нагрузкой
• опыт использования реляционных СУБД или NoSQL-хранилищ (MongoDB)
• опыт многопоточного программирования"
Python-разработчик в Яндекс.Лавку,"Яндекс.Лавка — сервис доставки продуктов за 15 минут. Это один из наших главных фудтех-проектов. Лавка развивается очень быстро, поэтому мы расширяем команду разработки. Новый коллега будет участвовать в разработке ERP-системы, которая формирует заказ для быстрой доставки покупателю.","• опыт в Python от трех лет
• опыт в aiohttp и асинхронном программировании
• знание *nix и Git","• создавать новые фичи
• заниматься архитектурой продукта","• опыт проектирования и разработки высоконагруженных сервисов
• знание других языков программирования","Python-разработчик в Яндекс.Лавку

Яндекс.Лавка — сервис доставки продуктов за 15 минут. Это один из наших главных фудтех-проектов. Лавка развивается очень быстро, поэтому мы расширяем команду разработки. Новый коллега будет участвовать в разработке ERP-системы, которая формирует заказ для быстрой доставки покупателю.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• опыт в Python от трех лет
• опыт в aiohttp и асинхронном программировании
• знание *nix и Git

ВАШИ ЗАДАЧИ:
• создавать новые фичи
• заниматься архитектурой продукта

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• опыт проектирования и разработки высоконагруженных сервисов
• знание других языков программирования"
Фронтенд-разработчик в Вертикали,"Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Мы ищем разработчика в команду извлечения трафика. В целом подразделение занимается инструментами привлечения трафика в проекты Яндекса.","• опыт разработки на JS и Node.js
• знание стека React, Redux
• знание адаптивной верстки","• разрабатывать десктопные и мобильные интерфейсы разных сервисов
• оптимизировать приложения и внедрять новые фичи
• настраивать мониторинг, логирование, деплой
• писать автотесты","• опыт работы с TypeScript, Docker и CI/CD, nginx (полезен даже минимальный опыт)","Фронтенд-разработчик в Вертикали

Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Мы ищем разработчика в команду извлечения трафика. В целом подразделение занимается инструментами привлечения трафика в проекты Яндекса.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• опыт разработки на JS и Node.js
• знание стека React, Redux
• знание адаптивной верстки

ВАШИ ЗАДАЧИ:
• разрабатывать десктопные и мобильные интерфейсы разных сервисов
• оптимизировать приложения и внедрять новые фичи
• настраивать мониторинг, логирование, деплой
• писать автотесты

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• опыт работы с TypeScript, Docker и CI/CD, nginx (полезен даже минимальный опыт)"
iOS-разработчик в Вертикали (Буткемп),"Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Стек технологий в них отличается. Например, для Недвижимости используется Texture, Realm и немного Objective-C, а для Авто.ру — Swift и такие библиотеки, как Yoga, RxSwift, GRDB.В самом начале работы в подразделении Вертикалей у вас будет возможность глубже понять процессы и подходы к разработке в форме буткемпа. Таким образом, по окончании испытательного срока вы будете разбираться в технологиях и продуктах обеих команд.","• опыт коммерческой разработки под iOS от двух лет
• опыт программирования на Swift и Objective-C","• проектировать новые фичи приложений, поддерживать и развивать уже существующие",• опыт в многопоточном программировании и разработке сетевых приложений,"iOS-разработчик в Вертикали (Буткемп)

Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Стек технологий в них отличается. Например, для Недвижимости используется Texture, Realm и немного Objective-C, а для Авто.ру — Swift и такие библиотеки, как Yoga, RxSwift, GRDB.В самом начале работы в подразделении Вертикалей у вас будет возможность глубже понять процессы и подходы к разработке в форме буткемпа. Таким образом, по окончании испытательного срока вы будете разбираться в технологиях и продуктах обеих команд.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• опыт коммерческой разработки под iOS от двух лет
• опыт программирования на Swift и Objective-C

ВАШИ ЗАДАЧИ:
• проектировать новые фичи приложений, поддерживать и развивать уже существующие

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• опыт в многопоточном программировании и разработке сетевых приложений"
Старший разработчик в группу разработки бессерверных вычислений (эксперт),"‍Yandex Functions — система бессерверных вычислений. Она предоставляет пользователям простую модель написания прикладного кода, будь то счетные задачи или задачи обработки данных. Инфраструктура Yandex Functions отвечает за масштабирование, изоляцию и балансировку вызовов функций, а пользователь может сконцентрироваться на реализации бизнес-логики.","• опыт разработки на С++
• понимать парадигму многопоточности, знать основные подходы, проблемы и ограничения в этой сфере","• решать вопросы изоляции как по данным, так и по ресурсам недоверенного кода, по проблемам безопасности, масштабирования, отказоустойчивости и динамической адаптации к нагрузкам
• разрабатывать архитектуру сервиса и его компоненты","• опыт работы с системами виртуализации и контейнеризации
• опыт работы с высоконагруженными распределенными системами, другими бессерверными/облачными платформами","Старший разработчик в группу разработки бессерверных вычислений (эксперт)

Yandex Functions — система бессерверных вычислений. Она предоставляет пользователям простую модель написания прикладного кода, будь то счетные задачи или задачи обработки данных. Инфраструктура Yandex Functions отвечает за масштабирование, изоляцию и балансировку вызовов функций, а пользователь может сконцентрироваться на реализации бизнес-логики.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• опыт разработки на С++
• понимать парадигму многопоточности, знать основные подходы, проблемы и ограничения в этой сфере

ВАШИ ЗАДАЧИ:
• решать вопросы изоляции как по данным, так и по ресурсам недоверенного кода, по проблемам безопасности, масштабирования, отказоустойчивости и динамической адаптации к нагрузкам
• разрабатывать архитектуру сервиса и его компоненты

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• опыт работы с системами виртуализации и контейнеризации
• опыт работы с высоконагруженными распределенными системами, другими бессерверными/облачными платформами"
DevOps в службу сетевой разработки,"Сеть Яндекса обеспечивает работу десятков тысяч серверов, каждую секунду через нее проходят терабиты информации от сервисов к пользователям. Команда сетевой инфраструктуры ищет человека, который любит сложные задачи на стыке разных областей и будет совершенствовать стабильность систем, от которых зависит работа сети.","• опыт администрирования Linux-серверов больше двух лет
• знать сетевые протоколы TCP/IP и IPv4/
• опыт работы с Git или SVN
• уверенно владеть одним из языков программирования: Python, С++ или Go
• опыт работы с виртуализацией (LXC, LXD, Docker, Qemu-KVM и т. п.)","• обеспечивать доступность сервисов сетевой инфраструктуры, повышать их надежность и безопасность
• выявлять и оптимизировать слабые места
• разрабатывать необходимые компоненты, которые упрощают повседневную работу
• эксплуатировать Linux/FreeBSD","• работали с БД (MySQL, PostgreSQL, ClickHouse, MongoDB)
• умеете настраивать и оптимизировать Nginx, iptables, ipset, ipfw
• знаете протоколы IPv6 и систему управления конфигурациями Ansible, Salt, Chef","DevOps в службу сетевой разработки

Сеть Яндекса обеспечивает работу десятков тысяч серверов, каждую секунду через нее проходят терабиты информации от сервисов к пользователям. Команда сетевой инфраструктуры ищет человека, который любит сложные задачи на стыке разных областей и будет совершенствовать стабильность систем, от которых зависит работа сети.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• опыт администрирования Linux-серверов больше двух лет
• знать сетевые протоколы TCP/IP и IPv4/
• опыт работы с Git или SVN
• уверенно владеть одним из языков программирования: Python, С++ или Go
• опыт работы с виртуализацией (LXC, LXD, Docker, Qemu-KVM и т. п.)

ВАШИ ЗАДАЧИ:
• обеспечивать доступность сервисов сетевой инфраструктуры, повышать их надежность и безопасность
• выявлять и оптимизировать слабые места
• разрабатывать необходимые компоненты, которые упрощают повседневную работу
• эксплуатировать Linux/FreeBSD

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с БД (MySQL, PostgreSQL, ClickHouse, MongoDB)
• умеете настраивать и оптимизировать Nginx, iptables, ipset, ipfw
• знаете протоколы IPv6 и систему управления конфигурациями Ansible, Salt, Chef"
Python-разработчик,"Вместе с командой вы будете развивать платформу, которая автоматизирует работу коммерческого департамента и помогает клиентам Яндекса повышать эффективность рекламы. Платформой пользуются аналитики, менеджеры по работе с клиентами и технические специалисты.","• больше трех лет опыта разработки
• уверенное знание Python
• понимание принципов работы веб-приложений и СУБД
• любовь к проектированию нового","• проектировать архитектуру платформы и хранилища данных
• разрабатывать бэкенд на Python 3
• создавать и оптимизировать процессы обработки данных (будете иметь дело с сотнями петабайт)
• поддерживать регулярные поставки данных между хранилищами (MapReduce, PostgreSQL, ClickHouse)
• и многое другое","• знаете популярные Python-библиотеки и фреймворки (Django, Django REST framework, requests, pytest, Flask)
• создавали многопоточные или многопроцессорные приложения
• работали с *nix (разрабатывали, админили)
• умеете писать на JS/TS, имели дело с React
• строили микросервисы
• имеете аккаунт на github․com или на другом ресурсе, где можно посмотреть ваш код","Python-разработчик

Вместе с командой вы будете развивать платформу, которая автоматизирует работу коммерческого департамента и помогает клиентам Яндекса повышать эффективность рекламы. Платформой пользуются аналитики, менеджеры по работе с клиентами и технические специалисты.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• больше трех лет опыта разработки
• уверенное знание Python
• понимание принципов работы веб-приложений и СУБД
• любовь к проектированию нового

ВАШИ ЗАДАЧИ:
• проектировать архитектуру платформы и хранилища данных
• разрабатывать бэкенд на Python 3
• создавать и оптимизировать процессы обработки данных (будете иметь дело с сотнями петабайт)
• поддерживать регулярные поставки данных между хранилищами (MapReduce, PostgreSQL, ClickHouse)
• и многое другое

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• знаете популярные Python-библиотеки и фреймворки (Django, Django REST framework, requests, pytest, Flask)
• создавали многопоточные или многопроцессорные приложения
• работали с *nix (разрабатывали, админили)
• умеете писать на JS/TS, имели дело с React
• строили микросервисы
• имеете аккаунт на github․com или на другом ресурсе, где можно посмотреть ваш код"
Разработчик С++ в Яндекс.Маршрутизацию,"Ищем коллегу в алгоритмическое ядро — будем вместе решать задачи, связанные с маршрутизацией и логистикой. Мы занимаемся решениями Яндекс.Карт для Лавки, Такси и сторонних бизнесов, делаем API для маршрутизации нескольких транспортных средств с ограничениями (multiple vehicle routing problem with constraints), предоставляем его внутри Яндекса и внешним клиентам.","• опыт разработки на C++
• знание алгоритмов дискретной оптимизации
• знание матстата на базовом уровне","• контрибьютить в алгоритмическое ядро
• придумывать, как реализовать новую фичу в многопоточной среде",• участие в публичных контестах,"Разработчик С++ в Яндекс.Маршрутизацию

Ищем коллегу в алгоритмическое ядро — будем вместе решать задачи, связанные с маршрутизацией и логистикой. Мы занимаемся решениями Яндекс.Карт для Лавки, Такси и сторонних бизнесов, делаем API для маршрутизации нескольких транспортных средств с ограничениями (multiple vehicle routing problem with constraints), предоставляем его внутри Яндекса и внешним клиентам.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• опыт разработки на C++
• знание алгоритмов дискретной оптимизации
• знание матстата на базовом уровне

ВАШИ ЗАДАЧИ:
• контрибьютить в алгоритмическое ядро
• придумывать, как реализовать новую фичу в многопоточной среде

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• участие в публичных контестах"
Java-разработчик в Директ,В этой команде задачи связаны в основном с серверной частью Директа.,"• умение писать рабочий, поддерживаемый и тестируемый код, а также умение разбираться в чужом коде
• знание классических алгоритмов и структур данных","• обрабатывать огромные объемы данных, обеспечивать их синхронизацию с другими компонентами
• проектировать отказоустойчивые системы, используя всю мощь технологий Яндекса","• проектировали, разрабатывали и сопровождали высоконагруженные распределенные сервисы
• знаете Java 1.8+ и основные библиотеки (Spring, Guava, Jackson, Mockito)","Java-разработчик в Директ

В этой команде задачи связаны в основном с серверной частью Директа.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• умение писать рабочий, поддерживаемый и тестируемый код, а также умение разбираться в чужом коде
• знание классических алгоритмов и структур данных

ВАШИ ЗАДАЧИ:
• обрабатывать огромные объемы данных, обеспечивать их синхронизацию с другими компонентами
• проектировать отказоустойчивые системы, используя всю мощь технологий Яндекса

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• проектировали, разрабатывали и сопровождали высоконагруженные распределенные сервисы
• знаете Java 1.8+ и основные библиотеки (Spring, Guava, Jackson, Mockito)"
Разработчик интерфейсов в Директ,Главная цель интерфейса Директа — чтобы рекламодатель мог легко создавать эффективную рекламу и прозрачно ей управлять.,"• знание React/Redux, TS, GraphQL
• широкий кругозор (у вас будет возможность решать инфраструктурные задачи: сборка, релизы, автотесты, автоматизации)","• разрабатывать новые фичи
• проектировать архитектуру сервисов
• развивать технологии в сервисах
• участвовать в разработке как эксперт",• опыт работы с Node.js,"Разработчик интерфейсов в Директ

Главная цель интерфейса Директа — чтобы рекламодатель мог легко создавать эффективную рекламу и прозрачно ей управлять.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• знание React/Redux, TS, GraphQL
• широкий кругозор (у вас будет возможность решать инфраструктурные задачи: сборка, релизы, автотесты, автоматизации)

ВАШИ ЗАДАЧИ:
• разрабатывать новые фичи
• проектировать архитектуру сервисов
• развивать технологии в сервисах
• участвовать в разработке как эксперт

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• опыт работы с Node.js"
